batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,height/weight,year_born,position,career,starting_salary,OPS
3,강민국,2015,NC,0.100,9,10,2,1,1,0,0,2,0,0,0,0,0,4,0,0.2,0.1,0,176cm/80kg,1992년 01월 10일,내야수(우투우타),송정동초-충장중-광주제일고-동국대-NC-상무,20000만원,0.30000000000000004
3,강민국,2016,NC,0.316,16,19,2,6,2,1,0,10,0,0,0,2,0,4,0,0.526,0.381,0,176cm/80kg,1992년 01월 10일,내야수(우투우타),송정동초-충장중-광주제일고-동국대-NC-상무,20000만원,0.907
4,강민호,2005,롯데,0.250,11,20,2,5,4,0,0,9,2,0,1,0,0,6,0,0.45,0.25,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.7
4,강민호,2006,롯데,0.381,9,21,6,8,1,1,2,17,7,0,0,1,0,5,1,0.81,0.391,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1.2009999999999998
4,강민호,2007,롯데,0.136,10,22,2,3,0,0,0,3,2,0,0,0,1,6,1,0.136,0.174,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.31
4,강민호,2008,롯데,0.200,5,10,0,2,1,0,0,3,2,0,0,0,1,2,0,0.3,0.273,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.573
4,강민호,2009,롯데,0.167,2,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0.16699999999999998,0.16699999999999998,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.334
4,강민호,2010,롯데,0.261,10,23,8,6,1,0,4,19,8,0,0,5,1,3,0,0.826,0.414,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1.24
4,강민호,2011,롯데,0.353,13,34,4,12,3,0,2,21,11,0,0,4,0,6,3,0.618,0.4,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1.018
4,강민호,2012,롯데,0.273,5,11,2,3,0,0,0,3,1,0,1,0,0,2,0,0.273,0.273,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.546
4,강민호,2013,롯데,0.333,6,15,2,5,1,0,1,9,4,0,0,0,2,5,0,0.6,0.389,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.989
4,강민호,2014,롯데,0.100,8,10,1,1,0,0,0,1,0,0,0,6,1,3,1,0.1,0.471,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.5710000000000001
4,강민호,2015,롯데,0.158,10,19,1,3,0,0,1,6,3,0,0,0,0,3,0,0.316,0.158,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.474
4,강민호,2016,롯데,0.095,10,21,3,2,0,0,0,2,1,0,0,4,1,2,1,0.095,0.269,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.364
4,강민호,2017,롯데,0.300,10,20,1,6,0,0,0,6,0,0,0,1,0,4,1,0.3,0.333,1,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.633
4,강민호,2018,삼성,0.300,4,10,3,3,1,0,2,10,3,0,0,0,0,5,0,1.0,0.3,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1.3
5,강백호,2018,KT,0.333,6,18,2,6,1,0,0,7,3,0,0,4,0,5,0,0.389,0.455,0,184cm/98kg,1999년 07월 29일,외야수(우투좌타),부천북초-이수중-서울고,45000만원,0.8440000000000001
8,강상원,2016,한화,-,6,0,1,0,0,0,0,0,0,2,1,0,0,0,0,,,0,172cm/64kg,1997년 05월 05일,외야수(우투좌타),온양온천초-온양중-북일고,3000만원,
8,강상원,2017,한화,0.000,10,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.5,0,172cm/64kg,1997년 05월 05일,외야수(우투좌타),온양온천초-온양중-북일고,3000만원,0.5
8,강상원,2018,한화,0.000,6,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,172cm/64kg,1997년 05월 05일,외야수(우투좌타),온양온천초-온양중-북일고,3000만원,0.0
9,강승호,2013,LG,0.250,7,12,2,3,2,0,0,5,1,0,0,1,0,6,0,0.417,0.308,1,179cm/77kg,1994년 02월 09일,내야수(우투우타),순천북초-천안북중-북일고-LG-경찰-LG,20000만원,0.725
9,강승호,2016,LG,0.250,13,32,1,8,0,2,0,12,3,2,0,2,1,10,2,0.375,0.314,3,179cm/77kg,1994년 02월 09일,내야수(우투우타),순천북초-천안북중-북일고-LG-경찰-LG,20000만원,0.6890000000000001
9,강승호,2017,LG,0.227,12,22,5,5,2,1,0,9,3,0,0,0,1,6,0,0.409,0.261,2,179cm/77kg,1994년 02월 09일,내야수(우투우타),순천북초-천안북중-북일고-LG-경찰-LG,20000만원,0.6699999999999999
9,강승호,2018,SK,0.222,6,18,1,4,1,0,1,8,3,0,0,1,0,5,1,0.444,0.263,0,179cm/77kg,1994년 02월 09일,내야수(우투우타),순천북초-천안북중-북일고-LG-경찰-LG,20000만원,0.7070000000000001
11,강진성,2017,NC,0.000,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0,180cm/81kg,1993년 10월 19일,내야수(우투우타),가동초-잠신중-경기고-NC-경찰,7000만원,0.0
11,강진성,2018,NC,0.250,6,8,1,2,0,0,0,2,0,0,0,0,0,3,0,0.25,0.25,0,180cm/81kg,1993년 10월 19일,내야수(우투우타),가동초-잠신중-경기고-NC-경찰,7000만원,0.5
12,강한울,2014,KIA,0.207,12,29,5,6,2,0,1,11,3,0,1,1,0,7,0,0.379,0.233,1,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,0.612
12,강한울,2015,KIA,0.600,3,10,2,6,0,1,0,8,1,0,1,0,0,0,0,0.8,0.6,1,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,1.4
12,강한울,2017,삼성,0.222,10,18,2,4,1,0,0,5,1,1,0,0,0,1,0,0.278,0.222,0,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,0.5
12,강한울,2018,삼성,0.214,6,14,1,3,0,0,0,3,0,1,0,0,0,3,0,0.214,0.214,0,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,0.428
162,신성현,2016,한화,0.286,14,35,6,10,1,0,0,11,5,1,0,2,1,9,0,0.314,0.342,1,183cm/92kg,1990년 10월 19일,내야수(우투우타),가동초-덕수중-일본 교토고쿠사이고-히로시마-한화,,0.6559999999999999
162,신성현,2017,두산,0.324,10,34,7,11,2,0,1,16,8,1,1,3,1,6,0,0.471,0.395,0,183cm/92kg,1990년 10월 19일,내야수(우투우타),가동초-덕수중-일본 교토고쿠사이고-히로시마-한화,,0.866
162,신성현,2018,두산,0.000,6,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0,183cm/92kg,1990년 10월 19일,내야수(우투우타),가동초-덕수중-일본 교토고쿠사이고-히로시마-한화,,0.0
18,고종욱,2011,넥센,0.263,12,19,4,5,0,1,0,7,2,0,0,1,0,5,0,0.368,0.3,1,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.6679999999999999
18,고종욱,2015,넥센,0.125,10,8,4,1,0,1,0,3,0,2,0,0,0,2,0,0.375,0.125,0,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.5
18,고종욱,2016,넥센,0.293,13,41,7,12,2,0,0,14,2,3,1,2,0,11,0,0.341,0.318,0,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.659
18,고종욱,2017,넥센,0.438,11,32,5,14,3,0,0,17,6,2,0,1,0,5,0,0.531,0.455,0,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.986
18,고종욱,2018,넥센,0.385,6,13,3,5,1,1,1,11,1,2,0,2,0,4,0,0.846,0.467,0,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,1.3130000000000002
19,구자욱,2015,삼성,0.293,12,41,8,12,1,1,2,21,7,2,2,3,0,9,1,0.512,0.341,0,189cm/75kg,1993년 02월 12일,외야수(우투좌타),본리초-경복중-대구고-삼성-상무,13000만원,0.853
19,구자욱,2016,삼성,0.346,15,52,10,18,5,1,0,25,6,3,1,5,1,8,1,0.481,0.414,2,189cm/75kg,1993년 02월 12일,외야수(우투좌타),본리초-경복중-대구고-삼성-상무,13000만원,0.895
19,구자욱,2017,삼성,0.294,12,34,3,10,1,2,0,15,2,1,0,3,0,7,0,0.441,0.342,0,189cm/75kg,1993년 02월 12일,외야수(우투좌타),본리초-경복중-대구고-삼성-상무,13000만원,0.7829999999999999
19,구자욱,2018,삼성,0.250,6,12,2,3,0,0,0,3,1,0,0,1,1,5,0,0.25,0.35700000000000004,0,189cm/75kg,1993년 02월 12일,외야수(우투좌타),본리초-경복중-대구고-삼성-상무,13000만원,0.607
20,국해성,2012,두산,0.000,3,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,180cm/94kg,1989년 10월 08일,외야수(우투양타),군산중앙초-동인천중-인천고,,0.0
20,국해성,2015,두산,0.200,11,20,6,4,1,0,1,8,5,0,0,2,1,5,2,0.4,0.28,0,180cm/94kg,1989년 10월 08일,외야수(우투양타),군산중앙초-동인천중-인천고,,0.68
20,국해성,2016,두산,0.278,58,151,28,42,11,0,4,65,24,1,1,21,1,36,1,0.43,0.368,1,180cm/94kg,1989년 10월 08일,외야수(우투양타),군산중앙초-동인천중-인천고,,0.7979999999999999
20,국해성,2017,두산,0.209,57,86,15,18,3,0,3,30,17,0,0,5,4,23,2,0.349,0.281,0,180cm/94kg,1989년 10월 08일,외야수(우투양타),군산중앙초-동인천중-인천고,,0.63
20,국해성,2018,두산,0.333,14,24,4,8,3,0,0,11,1,1,0,3,1,5,1,0.458,0.429,0,180cm/94kg,1989년 10월 08일,외야수(우투양타),군산중앙초-동인천중-인천고,,0.887
22,권정웅,2016,삼성,0.000,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,180cm/88kg,1992년 11월 15일,포수(우투우타),서울이수초-영동중-덕수고-한양대,6000만원,0.0
22,권정웅,2017,삼성,0.250,6,4,0,1,0,0,0,1,0,0,0,0,0,3,0,0.25,0.25,0,180cm/88kg,1992년 11월 15일,포수(우투우타),서울이수초-영동중-덕수고-한양대,6000만원,0.5
22,권정웅,2018,삼성,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,180cm/88kg,1992년 11월 15일,포수(우투우타),서울이수초-영동중-덕수고-한양대,6000만원,0.0
23,권희동,2013,NC,0.293,12,41,2,12,0,0,0,12,4,0,0,1,0,8,0,0.293,0.302,1,177cm/85kg,1990년 12월 30일,외야수(우투우타),동천초-경주중-경주고-경남대-NC-상무,3000만원,0.595
23,권희동,2014,NC,0.250,10,12,2,3,2,0,0,5,2,0,0,4,0,2,0,0.417,0.438,0,177cm/85kg,1990년 12월 30일,외야수(우투우타),동천초-경주중-경주고-경남대-NC-상무,3000만원,0.855
23,권희동,2017,NC,0.258,11,31,1,8,3,0,1,14,2,1,0,3,1,7,1,0.452,0.343,0,177cm/85kg,1990년 12월 30일,외야수(우투우타),동천초-경주중-경주고-경남대-NC-상무,3000만원,0.795
23,권희동,2018,NC,0.154,6,13,1,2,0,0,1,5,2,0,0,2,2,6,0,0.385,0.353,0,177cm/85kg,1990년 12월 30일,외야수(우투우타),동천초-경주중-경주고-경남대-NC-상무,3000만원,0.738
24,김강민,2003,SK,-,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,
24,김강민,2004,SK,0.250,9,8,0,2,0,0,0,2,0,1,1,0,0,2,1,0.25,0.25,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.5
24,김강민,2005,SK,0.000,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.0
24,김강민,2006,SK,0.353,12,34,6,12,0,1,1,17,5,2,1,4,0,7,2,0.5,0.421,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.921
24,김강민,2007,SK,0.250,10,36,4,9,2,0,0,11,1,5,1,2,0,2,0,0.306,0.289,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.595
24,김강민,2008,SK,0.250,12,24,4,6,1,1,0,9,2,3,1,4,0,2,1,0.375,0.35700000000000004,1,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.732
24,김강민,2009,SK,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,
24,김강민,2010,SK,0.133,10,30,5,4,1,0,1,8,5,2,0,3,0,3,0,0.267,0.212,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.479
24,김강민,2011,SK,0.355,8,31,3,11,1,0,0,12,4,2,1,3,1,2,2,0.387,0.429,1,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.8160000000000001
24,김강민,2012,SK,0.258,10,31,3,8,3,0,0,11,4,1,0,2,0,5,1,0.355,0.303,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.6579999999999999
24,김강민,2013,SK,0.105,10,19,2,2,1,0,0,3,2,1,0,2,2,2,1,0.158,0.261,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.419
24,김강민,2014,SK,0.219,9,32,5,7,4,0,0,11,2,2,0,5,0,4,1,0.344,0.324,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.6679999999999999
24,김강민,2015,SK,0.111,8,27,1,3,0,0,0,3,2,0,2,1,0,12,0,0.111,0.14300000000000002,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.254
24,김강민,2016,SK,0.242,14,33,2,8,1,0,2,15,7,1,0,5,0,8,1,0.455,0.342,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.797
24,김강민,2017,SK,0.192,8,26,3,5,0,0,1,8,1,0,0,2,0,6,0,0.308,0.25,0,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.5579999999999999
24,김강민,2018,SK,0.143,6,7,1,1,0,0,0,1,0,0,0,0,0,2,0,0.14300000000000002,0.14300000000000002,1,182cm/85kg,1982년 09월 13일,외야수(우투우타),본리초-대구중-경북고,11000만원,0.28600000000000003
101,문선재,2009,LG,-,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,1.0,0,184cm/80kg,1990년 05월 20일,외야수(우투우타),광주서림초-광주동성중-광주동성고-LG-상무,5000만원,
101,문선재,2013,LG,0.167,4,12,0,2,1,0,0,3,0,0,0,1,0,6,0,0.25,0.231,1,184cm/80kg,1990년 05월 20일,외야수(우투우타),광주서림초-광주동성중-광주동성고-LG-상무,5000만원,0.481
101,문선재,2014,LG,0.290,10,31,4,9,2,1,1,16,7,1,0,0,0,6,0,0.516,0.29,1,184cm/80kg,1990년 05월 20일,외야수(우투우타),광주서림초-광주동성중-광주동성고-LG-상무,5000만원,0.8059999999999999
101,문선재,2015,LG,0.273,12,22,7,6,2,0,1,11,5,4,1,6,0,10,1,0.5,0.429,0,184cm/80kg,1990년 05월 20일,외야수(우투우타),광주서림초-광주동성중-광주동성고-LG-상무,5000만원,0.929
101,문선재,2016,LG,0.077,8,13,1,1,1,0,0,2,1,1,1,4,0,4,0,0.154,0.278,0,184cm/80kg,1990년 05월 20일,외야수(우투우타),광주서림초-광주동성중-광주동성고-LG-상무,5000만원,0.4320000000000001
101,문선재,2017,LG,0.368,11,19,1,7,0,0,0,7,2,0,3,2,0,3,0,0.368,0.429,0,184cm/80kg,1990년 05월 20일,외야수(우투우타),광주서림초-광주동성중-광주동성고-LG-상무,5000만원,0.7969999999999999
30,김동엽,2016,SK,0.200,6,10,0,2,0,0,0,2,1,0,0,0,0,5,0,0.2,0.182,0,186cm/101kg,1990년 07월 24일,외야수(우투우타),천안남산초-천안북중-북일고,,0.382
30,김동엽,2017,SK,0.316,10,38,3,12,3,0,2,21,10,0,0,0,1,5,1,0.5529999999999999,0.325,0,186cm/101kg,1990년 07월 24일,외야수(우투우타),천안남산초-천안북중-북일고,,0.8780000000000001
30,김동엽,2018,SK,0.286,5,14,0,4,1,0,0,5,2,1,0,0,0,1,0,0.35700000000000004,0.28600000000000003,0,186cm/101kg,1990년 07월 24일,외야수(우투우타),천안남산초-천안북중-북일고,,0.643
31,김동욱,2008,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,183cm/89kg,1988년 06월 24일,내야수(우투우타),신광초-경복중-대구고-삼성,13000만원,
31,김동욱,2013,삼성,0.400,6,5,1,2,0,0,0,2,0,0,0,1,0,0,1,0.4,0.5,0,183cm/89kg,1988년 06월 24일,내야수(우투우타),신광초-경복중-대구고-삼성,13000만원,0.9
31,김동욱,2015,KT,0.200,2,5,0,1,1,0,0,2,1,0,0,0,0,1,0,0.4,0.2,0,183cm/89kg,1988년 06월 24일,내야수(우투우타),신광초-경복중-대구고-삼성,13000만원,0.6000000000000001
31,김동욱,2016,KT,0.278,8,18,5,5,0,0,1,8,3,0,0,1,0,4,0,0.444,0.316,1,183cm/89kg,1988년 06월 24일,내야수(우투우타),신광초-경복중-대구고-삼성,13000만원,0.76
31,김동욱,2017,KT,0.346,11,26,4,9,2,0,0,11,3,1,1,1,1,5,0,0.423,0.393,0,183cm/89kg,1988년 06월 24일,내야수(우투우타),신광초-경복중-대구고-삼성,13000만원,0.8160000000000001
31,김동욱,2018,KT,0.286,6,7,1,2,2,0,0,4,0,0,0,1,0,1,0,0.5710000000000001,0.375,0,183cm/89kg,1988년 06월 24일,내야수(우투우타),신광초-경복중-대구고-삼성,13000만원,0.946
33,김동한,2013,두산,0.000,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,174cm/74kg,1988년 06월 24일,내야수(우투우타),내발산초-양천중-장충고-동국대-두산-상무-두산,4000만원,0.0
33,김동한,2016,롯데,0.167,7,6,1,1,0,0,0,1,0,0,1,1,0,0,0,0.16699999999999998,0.28600000000000003,0,174cm/74kg,1988년 06월 24일,내야수(우투우타),내발산초-양천중-장충고-동국대-두산-상무-두산,4000만원,0.45299999999999996
33,김동한,2017,롯데,0.111,10,9,2,1,1,0,0,2,1,1,0,3,0,2,0,0.222,0.333,0,174cm/74kg,1988년 06월 24일,내야수(우투우타),내발산초-양천중-장충고-동국대-두산-상무-두산,4000만원,0.555
33,김동한,2018,롯데,0.375,4,8,2,3,0,0,0,3,2,0,0,0,1,0,1,0.375,0.444,0,174cm/74kg,1988년 06월 24일,내야수(우투우타),내발산초-양천중-장충고-동국대-두산-상무-두산,4000만원,0.8190000000000001
35,김문호,2007,롯데,0.167,5,6,1,1,0,0,1,4,1,0,0,0,0,3,0,0.667,0.16699999999999998,1,185cm/102kg,1987년 06월 22일,외야수(좌투좌타),고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,0.8340000000000001
35,김문호,2008,롯데,0.250,8,20,4,5,0,0,0,5,2,0,0,0,0,6,0,0.25,0.25,0,185cm/102kg,1987년 06월 22일,외야수(좌투좌타),고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,0.5
35,김문호,2011,롯데,0.125,12,16,1,2,1,0,0,3,0,0,0,2,0,2,0,0.188,0.222,0,185cm/102kg,1987년 06월 22일,외야수(좌투좌타),고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,0.41
35,김문호,2012,롯데,0.133,12,15,1,2,0,0,0,2,0,0,0,1,0,2,0,0.133,0.188,0,185cm/102kg,1987년 06월 22일,외야수(좌투좌타),고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,0.321
35,김문호,2013,롯데,0.333,10,27,3,9,1,0,0,10,2,2,1,1,0,11,0,0.37,0.35700000000000004,0,185cm/102kg,1987년 06월 22일,외야수(좌투좌타),고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,0.727
35,김문호,2014,롯데,0.219,11,32,3,7,1,0,0,8,2,2,1,5,0,5,0,0.25,0.324,0,185cm/102kg,1987년 06월 22일,외야수(좌투좌타),고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,0.5740000000000001
35,김문호,2015,롯데,0.333,6,9,2,3,0,0,0,3,1,1,0,0,0,5,0,0.333,0.333,0,185cm/102kg,1987년 06월 22일,외야수(좌투좌타),고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,0.6659999999999999
35,김문호,2016,롯데,0.263,15,38,6,10,3,1,0,15,1,0,1,4,1,8,2,0.395,0.349,0,185cm/102kg,1987년 06월 22일,외야수(좌투좌타),고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,0.7440000000000001
35,김문호,2017,롯데,0.304,10,23,4,7,1,2,0,12,2,0,0,2,0,4,0,0.522,0.36,0,185cm/102kg,1987년 06월 22일,외야수(좌투좌타),고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,0.882
35,김문호,2018,롯데,0.500,5,8,3,4,1,0,0,5,1,0,0,1,0,0,1,0.625,0.556,0,185cm/102kg,1987년 06월 22일,외야수(좌투좌타),고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,1.181
